Code,Name,Gain_20D_Pct,High_Price,Latest_Close,Drop_Pct
001360,南矿集团,59.90,25.36,20.13,20.62
002632,道明光学,50.55,15.60,12.45,20.19
000735,罗 牛 山,51.31,12.15,9.98,17.86
002702,海欣食品,89.53,9.61,8.16,15.09
603709,中源家居,76.80,26.22,17.87,31.85
001330,博纳影业,97.49,13.35,9.83,26.37
603815,交建股份,78.78,9.13,7.64,16.32
603386,骏亚科技,67.50,18.70,15.07,19.41
603327,福蓉科技,54.02,14.53,11.00,24.29
605299,舒华体育,71.98,14.30,11.46,19.86
002752,昇兴股份,50.71,8.79,6.65,24.35
002105,信隆健康,51.47,10.30,6.93,32.72
002519,银河电子,56.34,7.27,5.99,17.61
000905,厦门港务,68.15,17.00,12.84,24.47
002682,龙洲股份,126.57,11.94,9.67,19.01
002235,安妮股份,87.45,14.34,10.71,25.31
